var,state,year,value,occupation_full,occupation_code,occupation_group
"Chief Executives, General Managers and Legislators",base,2031,27.0561,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,27.4726,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,27.4726,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,27.4726,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,27.8878,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,27.8878,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,27.8878,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,28.3013,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,28.3013,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,28.3013,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,28.7133,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,28.7133,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,28.7133,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,29.1234,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,29.1234,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,29.1234,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,29.5319,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,29.5319,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,29.5319,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,29.9393,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,29.9393,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,29.9393,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,30.3456,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,30.3456,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,30.3456,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,30.7509,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,30.7509,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,30.7509,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,31.1553,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,31.1553,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,31.1553,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,31.5588,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,31.5588,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,31.5588,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,31.9616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,31.9616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,31.9616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,32.3637,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,32.3637,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,32.3637,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,32.7653,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,32.7653,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,32.7653,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,33.1666,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,33.1666,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,33.1666,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,33.5678,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,33.5678,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,33.5678,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,33.9691,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,33.9691,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,33.9691,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,34.3709,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,34.3709,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,34.3709,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,34.7734,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,34.7734,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,34.7734,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
Farmers and Farm Managers,base,2017,23.6598,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,23.6598,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,23.6598,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,23.6598,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,24.0533,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,24.0533,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,24.0533,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,24.0533,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,24.0826,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,24.0826,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,24.0826,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,24.0826,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,24.7339,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,24.7339,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,24.7339,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,24.7339,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,22.659300000000002,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,22.659300000000002,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,22.659300000000002,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,22.659300000000002,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,22.9512,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,22.9512,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,22.9512,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,22.9512,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,23.2895,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,23.2895,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,23.2895,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2023,23.2895,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2024,23.8214,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2024,23.8214,O121 Farmers and Farm Managers,O121,O1 MANAGERS
