var,state,year,value,occupation_full,occupation_code,occupation_group
"Chief Executives, General Managers and Legislators",base,2031,15.6258,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,15.8664,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,15.8664,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2032,15.8664,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,16.1073,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,16.1073,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2033,16.1073,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,16.3485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,16.3485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2034,16.3485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,16.59,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,16.59,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2035,16.59,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,16.832,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,16.832,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2036,16.832,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,17.0743,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,17.0743,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2037,17.0743,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,17.3175,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,17.3175,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2038,17.3175,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,17.5616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,17.5616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2039,17.5616,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,17.8067,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,17.8067,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2040,17.8067,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,18.0528,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,18.0528,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2041,18.0528,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,18.3,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,18.3,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2042,18.3,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,18.5485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,18.5485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2043,18.5485,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,18.7983,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,18.7983,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2044,18.7983,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,19.0495,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,19.0495,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2045,19.0495,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,19.3023,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,19.3023,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2046,19.3023,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,19.5567,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,19.5567,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2047,19.5567,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,19.8131,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,19.8131,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2048,19.8131,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,20.0715,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,20.0715,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2049,20.0715,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,20.3321,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,20.3321,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
"Chief Executives, General Managers and Legislators",base,2050,20.3321,"O111 Chief Executives, General Managers and Legislators",O111,O1 MANAGERS
Farmers and Farm Managers,base,2017,18.6349,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,18.6349,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,18.6349,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2017,18.6349,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,18.7914,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,18.7914,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,18.7914,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2018,18.7914,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,18.3259,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,18.3259,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,18.3259,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2019,18.3259,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,19.2584,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,19.2584,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,19.2584,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2020,19.2584,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,17.184,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,17.184,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,17.184,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2021,17.184,O121 Farmers and Farm Managers,O121,O1 MANAGERS
Farmers and Farm Managers,base,2022,17.231,O121 Farmers and Farm Managers,O121,O1 MANAGERS
