state,year,value,var,industry_group
base,2031,94.2384,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,95.699,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,97.1485,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,98.589,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,100.0221,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,101.4498,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,102.8738,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,104.2978,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,105.7227,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,107.1494,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,108.5785,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2042,110.0108,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2043,111.4468,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2044,112.8872,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2045,114.3328,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2046,115.7844,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2047,117.243,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2048,118.7098,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2049,120.1864,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2050,121.674,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2051,123.174,Other crop production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,2.9371,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,2.9844,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,3.0314,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,3.0784,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,3.1252,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,3.1721,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,3.219,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,3.266,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,3.3132,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,3.3606,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,3.4083,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2042,3.4561,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2043,3.5043,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2044,3.5527,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2045,3.6014,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2046,3.6505,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2047,3.6999,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2048,3.7498,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2049,3.8001,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2050,3.851,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2051,3.9024,Sugar cane production,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,0.7179,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,0.7293,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,0.7407,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,0.7519,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,0.763,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2036,0.774,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2037,0.7848,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2038,0.7956,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2039,0.8063,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2040,0.8168,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2041,0.8274,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2042,0.8378,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2043,0.8481,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2044,0.8584,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2045,0.8687,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2046,0.8788,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2047,0.8889,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2048,0.899,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2049,0.909,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2050,0.919,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2051,0.9289,Raw cotton and ginning,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2031,39.5888,Other Agriculture,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2032,40.2687,Other Agriculture,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2033,40.9456,Other Agriculture,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2034,41.6201,Other Agriculture,"Sector 1 - Agriculture, forestry and fishing (A)"
base,2035,42.2931,Other Agriculture,"Sector 1 - Agriculture, forestry and fishing (A)"
