occupation_name,occupation_group
O263 ICT Network and Support Professionals,O2 PROFESSIONALS
O271 Legal Professionals,O2 PROFESSIONALS
O271 Legal Professionals,O2 PROFESSIONALS
O271 Legal Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O2 PROFESSIONALS
O272 Social and Welfare Professionals,O2 PROFESSIONALS
"O311 Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
"O311 Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
"O311 Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
"O311 Agricultural, Medical and Science Technicians",O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O312 Building and Engineering Technicians,O3 TECHNICIANS AND TRADES WORKERS
O313 ICT and Telecommunications Technicians,O3 TECHNICIANS AND TRADES WORKERS
O313 ICT and Telecommunications Technicians,O3 TECHNICIANS AND TRADES WORKERS
O321 Automotive Electricians and Mechanics,O3 TECHNICIANS AND TRADES WORKERS
O321 Automotive Electricians and Mechanics,O3 TECHNICIANS AND TRADES WORKERS
O322 Fabrication Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O322 Fabrication Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O322 Fabrication Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O323 Mechanical Engineering Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O3 TECHNICIANS AND TRADES WORKERS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O3 TECHNICIANS AND TRADES WORKERS
"O324 Panelbeaters, and Vehicle Body Builders, Trimmers and Painters",O3 TECHNICIANS AND TRADES WORKERS
"O331 Bricklayers, and Carpenters and Joiners",O3 TECHNICIANS AND TRADES WORKERS
"O331 Bricklayers, and Carpenters and Joiners",O3 TECHNICIANS AND TRADES WORKERS
O332 Floor Finishers and Painting Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
O332 Floor Finishers and Painting Trades Workers,O3 TECHNICIANS AND TRADES WORKERS
"O333 Glaziers, Plasterers and Tilers",O3 TECHNICIANS AND TRADES WORKERS
