occupation_full,occupation_code,occupation_name,occupation_group
O551 Accounting Clerks and Bookkeepers,O551,Accounting Clerks and Bookkeepers,O2 PROFESSIONALS
O552 Financial and Insurance Clerks,O552,Financial and Insurance Clerks,O2 PROFESSIONALS
O561 Clerical and Office Support Workers,O561,Clerical and Office Support Workers,O2 PROFESSIONALS
O591 Logistics Clerks,O591,Logistics Clerks,O2 PROFESSIONALS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O2 PROFESSIONALS
O611 Insurance Agents and Sales Representatives,O611,Insurance Agents and Sales Representatives,O2 PROFESSIONALS
O612 Real Estate Sales Agents,O612,Real Estate Sales Agents,O2 PROFESSIONALS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O2 PROFESSIONALS
O631 Checkout Operators and Office Cashiers,O631,Checkout Operators and Office Cashiers,O2 PROFESSIONALS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O2 PROFESSIONALS
O711 Machine Operators,O711,Machine Operators,O2 PROFESSIONALS
O712 Stationary Plant Operators,O712,Stationary Plant Operators,O2 PROFESSIONALS
O721 Mobile Plant Operators,O721,Mobile Plant Operators,O2 PROFESSIONALS
"O731 Automobile, Bus and Rail Drivers",O731,"Automobile, Bus and Rail Drivers",O2 PROFESSIONALS
O732 Delivery Drivers,O732,Delivery Drivers,O2 PROFESSIONALS
O733 Truck Drivers,O733,Truck Drivers,O2 PROFESSIONALS
O741 Storepersons,O741,Storepersons,O2 PROFESSIONALS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O2 PROFESSIONALS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O2 PROFESSIONALS
O831 Food Process Workers,O831,Food Process Workers,O2 PROFESSIONALS
O832 Packers and Product Assemblers,O832,Packers and Product Assemblers,O2 PROFESSIONALS
O839 Miscellaneous Factory Process Workers,O839,Miscellaneous Factory Process Workers,O2 PROFESSIONALS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O2 PROFESSIONALS
O851 Food Preparation Assistants,O851,Food Preparation Assistants,O2 PROFESSIONALS
O891 Freight Handlers and Shelf Fillers,O891,Freight Handlers and Shelf Fillers,O2 PROFESSIONALS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O2 PROFESSIONALS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
,,,O3 TECHNICIANS AND TRADES WORKERS
