occupation_full,occupation_code,occupation_name,occupation_group
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O599 Miscellaneous Clerical and Administrative Workers,O599,Miscellaneous Clerical and Administrative Workers,O5 CLERICAL AND ADMINISTRATIVE WORKERS
O611 Insurance Agents and Sales Representatives,O611,Insurance Agents and Sales Representatives,O6 SALES WORKERS
O611 Insurance Agents and Sales Representatives,O611,Insurance Agents and Sales Representatives,O6 SALES WORKERS
O611 Insurance Agents and Sales Representatives,O611,Insurance Agents and Sales Representatives,O6 SALES WORKERS
O612 Real Estate Sales Agents,O612,Real Estate Sales Agents,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O621 Sales Assistants and Salespersons,O621,Sales Assistants and Salespersons,O6 SALES WORKERS
O631 Checkout Operators and Office Cashiers,O631,Checkout Operators and Office Cashiers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O6 SALES WORKERS
O639 Miscellaneous Sales Support Workers,O639,Miscellaneous Sales Support Workers,O6 SALES WORKERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O711 Machine Operators,O711,Machine Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O712,Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O712,Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O712,Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O712 Stationary Plant Operators,O712,Stationary Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O721,Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O721,Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O721,Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
O721 Mobile Plant Operators,O721,Mobile Plant Operators,O7 MACHINERY OPERATORS AND DRIVERS
"O731 Automobile, Bus and Rail Drivers",O731,"Automobile, Bus and Rail Drivers",O7 MACHINERY OPERATORS AND DRIVERS
"O731 Automobile, Bus and Rail Drivers",O731,"Automobile, Bus and Rail Drivers",O7 MACHINERY OPERATORS AND DRIVERS
"O731 Automobile, Bus and Rail Drivers",O731,"Automobile, Bus and Rail Drivers",O7 MACHINERY OPERATORS AND DRIVERS
O732 Delivery Drivers,O732,Delivery Drivers,O7 MACHINERY OPERATORS AND DRIVERS
O733 Truck Drivers,O733,Truck Drivers,O7 MACHINERY OPERATORS AND DRIVERS
O741 Storepersons,O741,Storepersons,O7 MACHINERY OPERATORS AND DRIVERS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O8 LABOURERS
O811 Cleaners and Laundry Workers,O811,Cleaners and Laundry Workers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O821 Construction and Mining Labourers,O821,Construction and Mining Labourers,O8 LABOURERS
O831 Food Process Workers,O831,Food Process Workers,O8 LABOURERS
O831 Food Process Workers,O831,Food Process Workers,O8 LABOURERS
O831 Food Process Workers,O831,Food Process Workers,O8 LABOURERS
O831 Food Process Workers,O831,Food Process Workers,O8 LABOURERS
O832 Packers and Product Assemblers,O832,Packers and Product Assemblers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O839,Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O839,Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O839,Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O839,Miscellaneous Factory Process Workers,O8 LABOURERS
O839 Miscellaneous Factory Process Workers,O839,Miscellaneous Factory Process Workers,O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
"O841 Farm, Forestry and Garden Workers",O841,"Farm, Forestry and Garden Workers",O8 LABOURERS
O851 Food Preparation Assistants,O851,Food Preparation Assistants,O8 LABOURERS
O851 Food Preparation Assistants,O851,Food Preparation Assistants,O8 LABOURERS
O851 Food Preparation Assistants,O851,Food Preparation Assistants,O8 LABOURERS
O891 Freight Handlers and Shelf Fillers,O891,Freight Handlers and Shelf Fillers,O8 LABOURERS
O891 Freight Handlers and Shelf Fillers,O891,Freight Handlers and Shelf Fillers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
O899 Miscellaneous Labourers,O899,Miscellaneous Labourers,O8 LABOURERS
