occupation_full,occupation_code,occupation_name,occupation_group
O231 Air and Marine Transport Professionals,O231,Air and Marine Transport Professionals,O2 PROFESSIONALS
O231 Air and Marine Transport Professionals,O231,Air and Marine Transport Professionals,O2 PROFESSIONALS
O231 Air and Marine Transport Professionals,O231,Air and Marine Transport Professionals,O2 PROFESSIONALS
O231 Air and Marine Transport Professionals,O231,Air and Marine Transport Professionals,O2 PROFESSIONALS
O231 Air and Marine Transport Professionals,O231,Air and Marine Transport Professionals,O2 PROFESSIONALS
"O232 Architects, Designers, Planners and Surveyors",O232,"Architects, Designers, Planners and Surveyors",O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O233 Engineering Professionals,O233,Engineering Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O234 Natural and Physical Science Professionals,O234,Natural and Physical Science Professionals,O2 PROFESSIONALS
O241 School Teachers,O241,School Teachers,O2 PROFESSIONALS
O241 School Teachers,O241,School Teachers,O2 PROFESSIONALS
O241 School Teachers,O241,School Teachers,O2 PROFESSIONALS
O241 School Teachers,O241,School Teachers,O2 PROFESSIONALS
O241 School Teachers,O241,School Teachers,O2 PROFESSIONALS
O242 Tertiary Education Teachers,O242,Tertiary Education Teachers,O2 PROFESSIONALS
O242 Tertiary Education Teachers,O242,Tertiary Education Teachers,O2 PROFESSIONALS
O249 Miscellaneous Education Professionals,O249,Miscellaneous Education Professionals,O2 PROFESSIONALS
O249 Miscellaneous Education Professionals,O249,Miscellaneous Education Professionals,O2 PROFESSIONALS
O249 Miscellaneous Education Professionals,O249,Miscellaneous Education Professionals,O2 PROFESSIONALS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O2 PROFESSIONALS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O2 PROFESSIONALS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O2 PROFESSIONALS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O2 PROFESSIONALS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O2 PROFESSIONALS
O251 Health Diagnostic and Promotion Professionals,O251,Health Diagnostic and Promotion Professionals,O2 PROFESSIONALS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
O252 Health Therapy Professionals,O252,Health Therapy Professionals,O2 PROFESSIONALS
